OMRÅDE;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;2008K1;5475791
Hele landet;I alt;2008K2;5482266
Hele landet;I alt;2008K3;5489022
Hele landet;I alt;2008K4;5505995
Hele landet;I alt;2009K1;5511451
Hele landet;I alt;2009K2;5515287
Hele landet;I alt;2009K3;5519441
Hele landet;I alt;2009K4;5532531
Hele landet;I alt;2010K1;5534738
Hele landet;I alt;2010K2;5540241
Hele landet;I alt;2010K3;5543819
Hele landet;I alt;2010K4;5557709
Hele landet;I alt;2011K1;5560628
Hele landet;I alt;2011K2;5564219
Hele landet;I alt;2011K3;5566856
Hele landet;I alt;2011K4;5579204
Hele landet;I alt;2012K1;5580516
Hele landet;I alt;2012K2;5584758
Hele landet;I alt;2012K3;5587085
Hele landet;I alt;2012K4;5599665
Hele landet;I alt;2013K1;5602628
Hele landet;I alt;2013K2;5605836
Hele landet;I alt;2013K3;5608784
Hele landet;I alt;2013K4;5623501
Hele landet;I alt;2014K1;5627235
Hele landet;I alt;2014K2;5634437
Hele landet;I alt;2014K3;5639719
Hele landet;I alt;2014K4;5655750
Hele landet;I alt;2015K1;5659715
Hele landet;I alt;2015K2;5668743
Hele landet;I alt;2015K3;5678348
Hele landet;I alt;2015K4;5699220
Hele landet;I alt;2016K1;5707251
Hele landet;I alt;2016K2;5717014
Hele landet;I alt;2016K3;5724456
Hele landet;I alt;2016K4;5745526
Hele landet;I alt;2017K1;5748769
Hele landet;I alt;2017K2;5756170
Hele landet;I alt;2017K3;5760694
Hele landet;I alt;2017K4;5778570
Hele landet;I alt;2018K1;5781190
Hele landet;I alt;2018K2;5785864
Hele landet;I alt;2018K3;5789957
Hele landet;I alt;2018K4;5806015
Hele landet;I alt;2019K1;5806081
Hele landet;I alt;2019K2;5811413
Hele landet;I alt;2019K3;5814461
Hele landet;I alt;2019K4;5827463
Hele landet;I alt;2020K1;5822763
Hele landet;I alt;2020K2;5824857
Hele landet;I alt;2020K3;5825337
Hele landet;I alt;2020K4;5837213
Hele landet;I alt;2021K1;5840045
Hele landet;I alt;2021K2;5843347
Hele landet;I alt;2021K3;5850189
Hele landet;I alt;2021K4;5867412
Hele landet;I alt;2022K1;5873420
Hele landet;Ugift;2008K1;2552700
Hele landet;Ugift;2008K2;2563134
Hele landet;Ugift;2008K3;2564705
Hele landet;Ugift;2008K4;2568255
Hele landet;Ugift;2009K1;2575185
Hele landet;Ugift;2009K2;2584993
Hele landet;Ugift;2009K3;2584560
Hele landet;Ugift;2009K4;2588198
Hele landet;Ugift;2010K1;2593172
Hele landet;Ugift;2010K2;2604129
Hele landet;Ugift;2010K3;2604479
Hele landet;Ugift;2010K4;2610799
Hele landet;Ugift;2011K1;2616048
Hele landet;Ugift;2011K2;2626084
Hele landet;Ugift;2011K3;2627295
Hele landet;Ugift;2011K4;2634540
Hele landet;Ugift;2012K1;2639530
Hele landet;Ugift;2012K2;2649701
Hele landet;Ugift;2012K3;2650422
Hele landet;Ugift;2012K4;2657677
Hele landet;Ugift;2013K1;2662659
Hele landet;Ugift;2013K2;2673091
Hele landet;Ugift;2013K3;2675409
Hele landet;Ugift;2013K4;2681019
Hele landet;Ugift;2014K1;2687098
Hele landet;Ugift;2014K2;2698124
Hele landet;Ugift;2014K3;2700182
Hele landet;Ugift;2014K4;2709113
Hele landet;Ugift;2015K1;2714540
Hele landet;Ugift;2015K2;2727425
Hele landet;Ugift;2015K3;2732381
Hele landet;Ugift;2015K4;2744254
Hele landet;Ugift;2016K1;2753160
Hele landet;Ugift;2016K2;2766337
Hele landet;Ugift;2016K3;2769775
Hele landet;Ugift;2016K4;2780475
Hele landet;Ugift;2017K1;2785800
Hele landet;Ugift;2017K2;2797744
Hele landet;Ugift;2017K3;2798842
Hele landet;Ugift;2017K4;2806141
Hele landet;Ugift;2018K1;2811181
Hele landet;Ugift;2018K2;2821044
Hele landet;Ugift;2018K3;2821394
Hele landet;Ugift;2018K4;2827695
Hele landet;Ugift;2019K1;2830166
Hele landet;Ugift;2019K2;2840546
Hele landet;Ugift;2019K3;2840316
Hele landet;Ugift;2019K4;2845453
Hele landet;Ugift;2020K1;2844060
Hele landet;Ugift;2020K2;2851131
Hele landet;Ugift;2020K3;2854659
Hele landet;Ugift;2020K4;2859116
Hele landet;Ugift;2021K1;2861497
Hele landet;Ugift;2021K2;2870485
Hele landet;Ugift;2021K3;2876672
Hele landet;Ugift;2021K4;2886458
Hele landet;Ugift;2022K1;2895240
Hele landet;Gift/separeret;2008K1;2176977
Hele landet;Gift/separeret;2008K2;2171174
Hele landet;Gift/separeret;2008K3;2176196
Hele landet;Gift/separeret;2008K4;2191033
Hele landet;Gift/separeret;2009K1;2188259
Hele landet;Gift/separeret;2009K2;2180280
Hele landet;Gift/separeret;2009K3;2183708
Hele landet;Gift/separeret;2009K4;2193779
Hele landet;Gift/separeret;2010K1;2189368
Hele landet;Gift/separeret;2010K2;2181819
Hele landet;Gift/separeret;2010K3;2184152
Hele landet;Gift/separeret;2010K4;2191517
Hele landet;Gift/separeret;2011K1;2187702
Hele landet;Gift/separeret;2011K2;2177947
Hele landet;Gift/separeret;2011K3;2178670
Hele landet;Gift/separeret;2011K4;2183712
Hele landet;Gift/separeret;2012K1;2178131
Hele landet;Gift/separeret;2012K2;2168562
Hele landet;Gift/separeret;2012K3;2168353
Hele landet;Gift/separeret;2012K4;2173196
Hele landet;Gift/separeret;2013K1;2169369
Hele landet;Gift/separeret;2013K2;2158728
Hele landet;Gift/separeret;2013K3;2156743
Hele landet;Gift/separeret;2013K4;2165925
Hele landet;Gift/separeret;2014K1;2154621
Hele landet;Gift/separeret;2014K2;2144763
Hele landet;Gift/separeret;2014K3;2144241
Hele landet;Gift/separeret;2014K4;2148451
Hele landet;Gift/separeret;2015K1;2143625
Hele landet;Gift/separeret;2015K2;2138481
Hele landet;Gift/separeret;2015K3;2140400
Hele landet;Gift/separeret;2015K4;2146756
Hele landet;Gift/separeret;2016K1;2142540
Hele landet;Gift/separeret;2016K2;2135923
Hele landet;Gift/separeret;2016K3;2135953
Hele landet;Gift/separeret;2016K4;2145540
Hele landet;Gift/separeret;2017K1;2140830
Hele landet;Gift/separeret;2017K2;2132454
Hele landet;Gift/separeret;2017K3;2135608
Hele landet;Gift/separeret;2017K4;2145883
Hele landet;Gift/separeret;2018K1;2141429
Hele landet;Gift/separeret;2018K2;2133673
Hele landet;Gift/separeret;2018K3;2136954
Hele landet;Gift/separeret;2018K4;2146813
Hele landet;Gift/separeret;2019K1;2141704
Hele landet;Gift/separeret;2019K2;2136452
Hele landet;Gift/separeret;2019K3;2140880
Hele landet;Gift/separeret;2019K4;2149938
Hele landet;Gift/separeret;2020K1;2146017
Hele landet;Gift/separeret;2020K2;2137608
Hele landet;Gift/separeret;2020K3;2132092
Hele landet;Gift/separeret;2020K4;2138124
Hele landet;Gift/separeret;2021K1;2136102
Hele landet;Gift/separeret;2021K2;2127486
Hele landet;Gift/separeret;2021K3;2128338
Hele landet;Gift/separeret;2021K4;2135786
Hele landet;Gift/separeret;2022K1;2131016
Hele landet;Enke/enkemand;2008K1;317250
Hele landet;Enke/enkemand;2008K2;316408
Hele landet;Enke/enkemand;2008K3;315408
Hele landet;Enke/enkemand;2008K4;314551
Hele landet;Enke/enkemand;2009K1;313774
Hele landet;Enke/enkemand;2009K2;312548
Hele landet;Enke/enkemand;2009K3;311795
Hele landet;Enke/enkemand;2009K4;311126
Hele landet;Enke/enkemand;2010K1;310285
Hele landet;Enke/enkemand;2010K2;309528
Hele landet;Enke/enkemand;2010K3;308855
Hele landet;Enke/enkemand;2010K4;308135
