OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;Fraskilt;2022K1;560611
Hele landet;I alt;Gift/separeret;2022K1;2131016
Hele landet;I alt;Ugift;2022K1;2895240
Hele landet;0 år;Fraskilt;2022K1;0
Hele landet;0 år;Gift/separeret;2022K1;0
Hele landet;0 år;Ugift;2022K1;63602
Hele landet;1 år;Fraskilt;2022K1;0
Hele landet;1 år;Gift/separeret;2022K1;0
Hele landet;1 år;Ugift;2022K1;61514
Hele landet;2 år;Fraskilt;2022K1;0
Hele landet;2 år;Gift/separeret;2022K1;0
Hele landet;2 år;Ugift;2022K1;61864
Hele landet;3 år;Fraskilt;2022K1;0
Hele landet;3 år;Gift/separeret;2022K1;0
Hele landet;3 år;Ugift;2022K1;62135
Hele landet;4 år;Fraskilt;2022K1;0
Hele landet;4 år;Gift/separeret;2022K1;0
Hele landet;4 år;Ugift;2022K1;62297
Hele landet;5 år;Fraskilt;2022K1;0
Hele landet;5 år;Gift/separeret;2022K1;0
Hele landet;5 år;Ugift;2022K1;62893
Hele landet;6 år;Fraskilt;2022K1;0
Hele landet;6 år;Gift/separeret;2022K1;0
Hele landet;6 år;Ugift;2022K1;59839
Hele landet;7 år;Fraskilt;2022K1;0
Hele landet;7 år;Gift/separeret;2022K1;0
Hele landet;7 år;Ugift;2022K1;59165
Hele landet;8 år;Fraskilt;2022K1;0
Hele landet;8 år;Gift/separeret;2022K1;0
Hele landet;8 år;Ugift;2022K1;58683
Hele landet;9 år;Fraskilt;2022K1;0
Hele landet;9 år;Gift/separeret;2022K1;0
Hele landet;9 år;Ugift;2022K1;61034
Hele landet;10 år;Fraskilt;2022K1;0
Hele landet;10 år;Gift/separeret;2022K1;0
Hele landet;10 år;Ugift;2022K1;62282
Hele landet;11 år;Fraskilt;2022K1;0
Hele landet;11 år;Gift/separeret;2022K1;0
Hele landet;11 år;Ugift;2022K1;66845
Hele landet;12 år;Fraskilt;2022K1;0
Hele landet;12 år;Gift/separeret;2022K1;0
Hele landet;12 år;Ugift;2022K1;66597
Hele landet;13 år;Fraskilt;2022K1;0
Hele landet;13 år;Gift/separeret;2022K1;0
Hele landet;13 år;Ugift;2022K1;68985
Hele landet;14 år;Fraskilt;2022K1;0
Hele landet;14 år;Gift/separeret;2022K1;0
Hele landet;14 år;Ugift;2022K1;68096
Hele landet;15 år;Fraskilt;2022K1;0
Hele landet;15 år;Gift/separeret;2022K1;0
Hele landet;15 år;Ugift;2022K1;69009
Hele landet;16 år;Fraskilt;2022K1;0
Hele landet;16 år;Gift/separeret;2022K1;0
Hele landet;16 år;Ugift;2022K1;68420
Hele landet;17 år;Fraskilt;2022K1;0
Hele landet;17 år;Gift/separeret;2022K1;0
Hele landet;17 år;Ugift;2022K1;68469
Hele landet;18 år;Fraskilt;2022K1;1
Hele landet;18 år;Gift/separeret;2022K1;16
Hele landet;18 år;Ugift;2022K1;68657
Hele landet;19 år;Fraskilt;2022K1;2
Hele landet;19 år;Gift/separeret;2022K1;72
Hele landet;19 år;Ugift;2022K1;69076
Hele landet;20 år;Fraskilt;2022K1;11
Hele landet;20 år;Gift/separeret;2022K1;251
Hele landet;20 år;Ugift;2022K1;71005
Hele landet;21 år;Fraskilt;2022K1;31
Hele landet;21 år;Gift/separeret;2022K1;553
Hele landet;21 år;Ugift;2022K1;73954
Hele landet;22 år;Fraskilt;2022K1;69
Hele landet;22 år;Gift/separeret;2022K1;979
Hele landet;22 år;Ugift;2022K1;73637
Hele landet;23 år;Fraskilt;2022K1;163
Hele landet;23 år;Gift/separeret;2022K1;1768
Hele landet;23 år;Ugift;2022K1;74413
Hele landet;24 år;Fraskilt;2022K1;231
Hele landet;24 år;Gift/separeret;2022K1;3033
Hele landet;24 år;Ugift;2022K1;75344
Hele landet;25 år;Fraskilt;2022K1;431
Hele landet;25 år;Gift/separeret;2022K1;4664
Hele landet;25 år;Ugift;2022K1;74379
Hele landet;26 år;Fraskilt;2022K1;593
Hele landet;26 år;Gift/separeret;2022K1;7238
Hele landet;26 år;Ugift;2022K1;74201
Hele landet;27 år;Fraskilt;2022K1;778
Hele landet;27 år;Gift/separeret;2022K1;10440
Hele landet;27 år;Ugift;2022K1;71571
Hele landet;28 år;Fraskilt;2022K1;1124
Hele landet;28 år;Gift/separeret;2022K1;13747
Hele landet;28 år;Ugift;2022K1;65491
