OMRÅDE;CIVILSTAND;TID;INDHOLD
Hele landet;Fraskilt;2008K1;428864
Hele landet;Fraskilt;2008K2;431550
Hele landet;Fraskilt;2008K3;432713
Hele landet;Fraskilt;2008K4;432156
Hele landet;Fraskilt;2009K1;434233
Hele landet;Fraskilt;2009K2;437466
Hele landet;Fraskilt;2009K3;439378
Hele landet;Fraskilt;2009K4;439428
Hele landet;Fraskilt;2010K1;441913
Hele landet;Fraskilt;2010K2;444765
Hele landet;Fraskilt;2010K3;446333
Hele landet;Fraskilt;2010K4;447258
Hele landet;Fraskilt;2011K1;449609
Hele landet;Fraskilt;2011K2;453640
Hele landet;Fraskilt;2011K3;455105
Hele landet;Fraskilt;2011K4;455846
Hele landet;Fraskilt;2012K1;458430
Hele landet;Fraskilt;2012K2;462738
Hele landet;Fraskilt;2012K3;465210
Hele landet;Fraskilt;2012K4;466356
Hele landet;Fraskilt;2013K1;468891
Hele landet;Fraskilt;2013K2;473292
Hele landet;Fraskilt;2013K3;476507
Hele landet;Fraskilt;2013K4;477056
Hele landet;Fraskilt;2014K1;486336
Hele landet;Fraskilt;2014K2;492909
Hele landet;Fraskilt;2014K3;497069
Hele landet;Fraskilt;2014K4;500795
Hele landet;Fraskilt;2015K1;504505
Hele landet;Fraskilt;2015K2;506621
Hele landet;Fraskilt;2015K3;509922
Hele landet;Fraskilt;2015K4;513060
Hele landet;Fraskilt;2016K1;516864
Hele landet;Fraskilt;2016K2;520775
Hele landet;Fraskilt;2016K3;525180
Hele landet;Fraskilt;2016K4;526340
Hele landet;Fraskilt;2017K1;529457
Hele landet;Fraskilt;2017K2;533905
Hele landet;Fraskilt;2017K3;534656
Hele landet;Fraskilt;2017K4;535372
Hele landet;Fraskilt;2018K1;537834
Hele landet;Fraskilt;2018K2;541010
Hele landet;Fraskilt;2018K3;541999
Hele landet;Fraskilt;2018K4;542280
Hele landet;Fraskilt;2019K1;545085
Hele landet;Fraskilt;2019K2;545597
Hele landet;Fraskilt;2019K3;544731
Hele landet;Fraskilt;2019K4;543846
Hele landet;Fraskilt;2020K1;544588
Hele landet;Fraskilt;2020K2;548229
Hele landet;Fraskilt;2020K3;550715
Hele landet;Fraskilt;2020K4;552419
Hele landet;Fraskilt;2021K1;555102
Hele landet;Fraskilt;2021K2;558076
Hele landet;Fraskilt;2021K3;558017
Hele landet;Fraskilt;2021K4;558266
Hele landet;Fraskilt;2022K1;560611
Hele landet;Gift/separeret;2008K1;2176977
Hele landet;Gift/separeret;2008K2;2171174
Hele landet;Gift/separeret;2008K3;2176196
Hele landet;Gift/separeret;2008K4;2191033
Hele landet;Gift/separeret;2009K1;2188259
Hele landet;Gift/separeret;2009K2;2180280
Hele landet;Gift/separeret;2009K3;2183708
Hele landet;Gift/separeret;2009K4;2193779
Hele landet;Gift/separeret;2010K1;2189368
Hele landet;Gift/separeret;2010K2;2181819
Hele landet;Gift/separeret;2010K3;2184152
Hele landet;Gift/separeret;2010K4;2191517
Hele landet;Gift/separeret;2011K1;2187702
Hele landet;Gift/separeret;2011K2;2177947
Hele landet;Gift/separeret;2011K3;2178670
Hele landet;Gift/separeret;2011K4;2183712
Hele landet;Gift/separeret;2012K1;2178131
Hele landet;Gift/separeret;2012K2;2168562
Hele landet;Gift/separeret;2012K3;2168353
Hele landet;Gift/separeret;2012K4;2173196
Hele landet;Gift/separeret;2013K1;2169369
Hele landet;Gift/separeret;2013K2;2158728
Hele landet;Gift/separeret;2013K3;2156743
Hele landet;Gift/separeret;2013K4;2165925
Hele landet;Gift/separeret;2014K1;2154621
Hele landet;Gift/separeret;2014K2;2144763
Hele landet;Gift/separeret;2014K3;2144241
Hele landet;Gift/separeret;2014K4;2148451
Hele landet;Gift/separeret;2015K1;2143625
Hele landet;Gift/separeret;2015K2;2138481
Hele landet;Gift/separeret;2015K3;2140400
Hele landet;Gift/separeret;2015K4;2146756
Hele landet;Gift/separeret;2016K1;2142540
Hele landet;Gift/separeret;2016K2;2135923
Hele landet;Gift/separeret;2016K3;2135953
Hele landet;Gift/separeret;2016K4;2145540
Hele landet;Gift/separeret;2017K1;2140830
Hele landet;Gift/separeret;2017K2;2132454
Hele landet;Gift/separeret;2017K3;2135608
Hele landet;Gift/separeret;2017K4;2145883
Hele landet;Gift/separeret;2018K1;2141429
Hele landet;Gift/separeret;2018K2;2133673
Hele landet;Gift/separeret;2018K3;2136954
Hele landet;Gift/separeret;2018K4;2146813
Hele landet;Gift/separeret;2019K1;2141704
Hele landet;Gift/separeret;2019K2;2136452
Hele landet;Gift/separeret;2019K3;2140880
Hele landet;Gift/separeret;2019K4;2149938
Hele landet;Gift/separeret;2020K1;2146017
Hele landet;Gift/separeret;2020K2;2137608
Hele landet;Gift/separeret;2020K3;2132092
Hele landet;Gift/separeret;2020K4;2138124
Hele landet;Gift/separeret;2021K1;2136102
Hele landet;Gift/separeret;2021K2;2127486
Hele landet;Gift/separeret;2021K3;2128338
Hele landet;Gift/separeret;2021K4;2135786
Hele landet;Gift/separeret;2022K1;2131016
Region Hovedstaden;Fraskilt;2008K1;149786
Region Hovedstaden;Fraskilt;2008K2;150328
Region Hovedstaden;Fraskilt;2008K3;150495
Region Hovedstaden;Fraskilt;2008K4;150040
Region Hovedstaden;Fraskilt;2009K1;150398
Region Hovedstaden;Fraskilt;2009K2;151038
Region Hovedstaden;Fraskilt;2009K3;151510
Region Hovedstaden;Fraskilt;2009K4;151237
Region Hovedstaden;Fraskilt;2010K1;151828
Region Hovedstaden;Fraskilt;2010K2;152617
Region Hovedstaden;Fraskilt;2010K3;152734
Region Hovedstaden;Fraskilt;2010K4;152782
Region Hovedstaden;Fraskilt;2011K1;153522
Region Hovedstaden;Fraskilt;2011K2;154468
Region Hovedstaden;Fraskilt;2011K3;154812
Region Hovedstaden;Fraskilt;2011K4;155067
Region Hovedstaden;Fraskilt;2012K1;155576
Region Hovedstaden;Fraskilt;2012K2;156739
Region Hovedstaden;Fraskilt;2012K3;157326
Region Hovedstaden;Fraskilt;2012K4;157645
Region Hovedstaden;Fraskilt;2013K1;158106
Region Hovedstaden;Fraskilt;2013K2;159332
Region Hovedstaden;Fraskilt;2013K3;159919
Region Hovedstaden;Fraskilt;2013K4;159921
Region Hovedstaden;Fraskilt;2014K1;162560
Region Hovedstaden;Fraskilt;2014K2;164396
Region Hovedstaden;Fraskilt;2014K3;165637
Region Hovedstaden;Fraskilt;2014K4;166666
Region Hovedstaden;Fraskilt;2015K1;167362
Region Hovedstaden;Fraskilt;2015K2;167739
Region Hovedstaden;Fraskilt;2015K3;168792
Region Hovedstaden;Fraskilt;2015K4;169418
Region Hovedstaden;Fraskilt;2016K1;170364
Region Hovedstaden;Fraskilt;2016K2;171357
Region Hovedstaden;Fraskilt;2016K3;172450
Region Hovedstaden;Fraskilt;2016K4;172756
Region Hovedstaden;Fraskilt;2017K1;173473
Region Hovedstaden;Fraskilt;2017K2;174703
Region Hovedstaden;Fraskilt;2017K3;174658
Region Hovedstaden;Fraskilt;2017K4;174679
Region Hovedstaden;Fraskilt;2018K1;175167
Region Hovedstaden;Fraskilt;2018K2;175874
Region Hovedstaden;Fraskilt;2018K3;175865
Region Hovedstaden;Fraskilt;2018K4;175708
Region Hovedstaden;Fraskilt;2019K1;176372
Region Hovedstaden;Fraskilt;2019K2;176352
Region Hovedstaden;Fraskilt;2019K3;176028
Region Hovedstaden;Fraskilt;2019K4;175610
Region Hovedstaden;Fraskilt;2020K1;175591
Region Hovedstaden;Fraskilt;2020K2;176461
Region Hovedstaden;Fraskilt;2020K3;176872
Region Hovedstaden;Fraskilt;2020K4;177231
Region Hovedstaden;Fraskilt;2021K1;177815
Region Hovedstaden;Fraskilt;2021K2;178459
Region Hovedstaden;Fraskilt;2021K3;178236
Region Hovedstaden;Fraskilt;2021K4;178265
Region Hovedstaden;Fraskilt;2022K1;178689
Region Hovedstaden;Gift/separeret;2008K1;597034
Region Hovedstaden;Gift/separeret;2008K2;595414
Region Hovedstaden;Gift/separeret;2008K3;597048
Region Hovedstaden;Gift/separeret;2008K4;602049
Region Hovedstaden;Gift/separeret;2009K1;601967
Region Hovedstaden;Gift/separeret;2009K2;600346
Region Hovedstaden;Gift/separeret;2009K3;602083
Region Hovedstaden;Gift/separeret;2009K4;606165
Region Hovedstaden;Gift/separeret;2010K1;605647
Region Hovedstaden;Gift/separeret;2010K2;603904
Region Hovedstaden;Gift/separeret;2010K3;605601
Region Hovedstaden;Gift/separeret;2010K4;609109
Region Hovedstaden;Gift/separeret;2011K1;608334
Region Hovedstaden;Gift/separeret;2011K2;606108
Region Hovedstaden;Gift/separeret;2011K3;606982
Region Hovedstaden;Gift/separeret;2011K4;609487
Region Hovedstaden;Gift/separeret;2012K1;608353
Region Hovedstaden;Gift/separeret;2012K2;605956
Region Hovedstaden;Gift/separeret;2012K3;606640
Region Hovedstaden;Gift/separeret;2012K4;609041
Region Hovedstaden;Gift/separeret;2013K1;608649
Region Hovedstaden;Gift/separeret;2013K2;606048
Region Hovedstaden;Gift/separeret;2013K3;606221
Region Hovedstaden;Gift/separeret;2013K4;610228
Region Hovedstaden;Gift/separeret;2014K1;607429
Region Hovedstaden;Gift/separeret;2014K2;604983
Region Hovedstaden;Gift/separeret;2014K3;605156
Region Hovedstaden;Gift/separeret;2014K4;607557
Region Hovedstaden;Gift/separeret;2015K1;606672
Region Hovedstaden;Gift/separeret;2015K2;605460
Region Hovedstaden;Gift/separeret;2015K3;606212
Region Hovedstaden;Gift/separeret;2015K4;609331
Region Hovedstaden;Gift/separeret;2016K1;608339
Region Hovedstaden;Gift/separeret;2016K2;606819
Region Hovedstaden;Gift/separeret;2016K3;607577
Region Hovedstaden;Gift/separeret;2016K4;611311
Region Hovedstaden;Gift/separeret;2017K1;610441
Region Hovedstaden;Gift/separeret;2017K2;608368
Region Hovedstaden;Gift/separeret;2017K3;609943
Region Hovedstaden;Gift/separeret;2017K4;614079
